subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name,group_0_avg_exp,group_1_avg_exp
"[18728 13447 11033 11769 18754 11593 10431 18684 18717 13024 18664 17897
 12697 18567 18653 18694 12642  8032  8341 18690 10599 11121 11756  9059
 18655 18792 15949 11003 10427 18758 17254 17337 17982 12640 10959 10224
  9999 11630  9013 18500 18636 18089 16731 17523 11357 11394 11917 12073
  8339 18685 15970 10737 11675 11754 18353 18652 18674 18691 18759 13813
  9759 11616 11880 23150  9057  8301 12750 17230 10354 10455 18642 18703
 18711 18786  9320  9326 11902 11914  8992 18375]","[6370.386 6370.38  6368.927 6367.924 6367.386 6364.924 6362.925 6362.386
 6362.386 6362.38  6361.386 6361.379 6361.378 6360.386 6360.386 6360.386
 6360.378 6359.83  6359.829 6359.386 6358.926 6358.926 6358.924 6358.831
 6358.386 6358.386 6358.378 6357.927 6357.925 6357.386 6357.38  6357.38
 6357.379 6357.378 6356.927 6356.925 6356.924 6356.924 6356.831 6356.386
 6356.386 6356.381 6356.38  6356.38  6355.926 6355.924 6355.924 6355.912
 6355.829 6355.386 6355.378 6354.926 6354.924 6354.924 6354.386 6354.386
 6354.386 6354.386 6354.386 6354.381 6353.926 6353.924 6353.924 6353.909
 6353.831 6353.829 6353.38  6353.38  6352.925 6352.925 6352.386 6352.386
 6352.386 6352.386 6351.932 6351.932 6351.924 6351.924 6351.831 6351.386]",1,proportional,1.0,fagins,0.7381531593093709,27.04447293281555,230909,0.8008886083325241,married,not-married,0.0021662387676508344,0.0015990159901599016,54,26,13849,133966,bank,n/a,n/a
"[18728 11033 11769 11593 10431 18717 18664 12697 18567 18694 12642  8032
 18690 10599 11121 11756  9059 18792 11003 10427 17254 17337 17982 12640
 10959 10224  9013 18500 17523 11357 11394 12073  8339 15970 11754 18652
 18674 13813  9759 23150  9057  8301 12750 17230 10455 18642 18703 18711
 13447 18754 18684 13024 17897 18653  8341 18655 15949 18758  9999 11630
 18636 18089 16731 11917 18685 10737 11675 18353 18691 18759 11616 11880
 10354 18375 16757 17959 15580  9345 18712 17981]","[6370.386 6368.927 6367.924 6364.924 6362.925 6362.386 6361.386 6361.378
 6360.386 6360.386 6360.378 6359.83  6359.386 6358.926 6358.926 6358.924
 6358.831 6358.386 6357.927 6357.925 6357.38  6357.38  6357.379 6357.378
 6356.927 6356.925 6356.831 6356.386 6356.38  6355.926 6355.924 6355.912
 6355.829 6355.378 6354.924 6354.386 6354.386 6354.381 6353.926 6353.909
 6353.831 6353.829 6353.38  6353.38  6352.925 6352.386 6352.386 6352.386
 6370.38  6367.386 6362.386 6362.38  6361.379 6360.386 6359.829 6358.386
 6358.378 6357.386 6356.924 6356.924 6356.386 6356.381 6356.38  6355.924
 6355.386 6354.926 6354.924 6354.386 6354.386 6354.386 6353.924 6353.924
 6352.925 6351.386 6351.38  6351.379 6351.375 6350.932 6350.386 6350.379]",0,proportional,0.9999880098109714,fair-fagins,0.9784178433889603,26.704396438598632,230909,0.8008886083325241,married,not-married,0.0019255455712451862,0.0019680196801968018,48,32,13905,133574,bank,n/a,n/a
"[ 8992 10599 11394 18664 18690 10427 18691 18728 15949 12642 10455 10354
 13447 11121 10224 12750  8032 18653 18636 11754 23150 17254 17982 18685
 11917 12640 13813  9320 11914 10737 18089 18652  9059 11033 11630 17337
 18353 15970 17523 18500 11769 11902  9999 18655  8341  9759 16731 11756
 18786 18754  9013 12073 11357 12697 11003 11880  9326 18567 18694 18684
 13024 11593 11675 18790 18759  8339 18792 18758 18711  9057 18717 11616
 17897 10959  8301 10431 18642 18703 18674 17230]","[6351.831 6358.926 6355.924 6361.386 6359.386 6357.925 6354.386 6370.386
 6358.378 6360.378 6352.925 6352.925 6370.38  6358.926 6356.925 6353.38
 6359.83  6360.386 6356.386 6354.924 6353.909 6357.38  6357.379 6355.386
 6355.924 6357.378 6354.381 6351.932 6351.924 6354.926 6356.381 6354.386
 6358.831 6368.927 6356.924 6357.38  6354.386 6355.378 6356.38  6356.386
 6367.924 6351.924 6356.924 6358.386 6359.829 6353.926 6356.38  6358.924
 6352.386 6367.386 6356.831 6355.912 6355.926 6361.378 6357.927 6353.924
 6351.932 6360.386 6360.386 6362.386 6362.38  6364.924 6354.924 6351.386
 6354.386 6355.829 6358.386 6357.386 6352.386 6353.831 6362.386 6353.924
 6361.379 6356.927 6353.829 6362.925 6352.386 6352.386 6354.386 6353.38 ]",1,proportional,1.0,ta,0.6968578776696859,1.0094263553619385,7574,0.026269787316694184,married,not-married,0.002206354300385109,0.0015375153751537515,55,25,158,6600,bank,n/a,n/a
"[10455  9059 12642  9759 18728 18792 10959 10599 10224 15970 11754 11756
 12750 18694  8301 10427 13813 18711 12073 17254 11033 17982 18664 11769
 18642 18500 18567 12697  8339 17230 12640 23150 11003  9057 18786 11121
 17337  8032 11593 11357 18652 18717 17523 18674 18690 10431 11394  9013
 18691 18653 18353 11880 18636 13447 18089 18684 18712 18655 15580 16757
 15949 10354 11630 17897 18375  9999  8341 18754 16731 10737 11917 11675
 17959 18759  9345 13024 11616 18685 18758 17981]","[6352.925 6358.831 6360.378 6353.926 6370.386 6358.386 6356.927 6358.926
 6356.925 6355.378 6354.924 6358.924 6353.38  6360.386 6353.829 6357.925
 6354.381 6352.386 6355.912 6357.38  6368.927 6357.379 6361.386 6367.924
 6352.386 6356.386 6360.386 6361.378 6355.829 6353.38  6357.378 6353.909
 6357.927 6353.831 6352.386 6358.926 6357.38  6359.83  6364.924 6355.926
 6354.386 6362.386 6356.38  6354.386 6359.386 6362.925 6355.924 6356.831
 6354.386 6360.386 6354.386 6353.924 6356.386 6370.38  6356.381 6362.386
 6350.386 6358.386 6351.375 6351.38  6358.378 6352.925 6356.924 6361.379
 6351.386 6356.924 6359.829 6367.386 6356.38  6354.926 6355.924 6354.924
 6351.379 6354.386 6350.932 6362.38  6353.924 6355.386 6357.386 6350.379]",0,proportional,0.9999880098109712,fair-ta,0.9784178433889603,1.187068223953247,8995,0.03119840730309799,married,not-married,0.0019255455712451862,0.0019680196801968018,48,32,188,7853,bank,n/a,n/a
"[ 8992 10599 11394 18664 18690 10427 18691 18728 15949 12642 10455 10354
 13447 11121 10224 12750  8032 18653 18636 11754 23150 17254 17982 18685
 11917 12640 13813  9320 11914 10737 18089 18652  9059 11033 11630 17337
 18353 15970 17523 18500 11769 11902  9999 18655  8341  9759 16731 11756
 18786 18754  9013 12073 11357 12697 11003 11880  9326 18567 18694 18684
 13024 11593 11675 18790 18759  8339 18792 18758 18711  9057 18717 11616
 17897 10959  8301 10431 18642 18703 18674 17230]","[6351.831 6358.926 6355.924 6361.386 6359.386 6357.925 6354.386 6370.386
 6358.378 6360.378 6352.925 6352.925 6370.38  6358.926 6356.925 6353.38
 6359.83  6360.386 6356.386 6354.924 6353.909 6357.38  6357.379 6355.386
 6355.924 6357.378 6354.381 6351.932 6351.924 6354.926 6356.381 6354.386
 6358.831 6368.927 6356.924 6357.38  6354.386 6355.378 6356.38  6356.386
 6367.924 6351.924 6356.924 6358.386 6359.829 6353.926 6356.38  6358.924
 6352.386 6367.386 6356.831 6355.912 6355.926 6361.378 6357.927 6353.924
 6351.932 6360.386 6360.386 6362.386 6362.38  6364.924 6354.924 6351.386
 6354.386 6355.829 6358.386 6357.386 6352.386 6353.831 6362.386 6353.924
 6361.379 6356.927 6353.829 6362.925 6352.386 6352.386 6354.386 6353.38 ]",1,proportional,1.0,bpa,0.6968578776696859,1.0066277503967285,7574,0.026269787316694184,married,not-married,0.002206354300385109,0.0015375153751537515,55,25,158,6600,bank,n/a,n/a
"[10455  9059 12642  9759 18728 18792 10959 10599 10224 15970 11754 11756
 12750 18694  8301 10427 13813 18711 12073 17254 11033 17982 18664 11769
 18642 18500 18567 12697  8339 17230 12640 23150 11003  9057 18786 11121
 17337  8032 11593 11357 18652 18717 17523 18674 18690 10431 11394  9013
 18691 18653 18353 11880 18636 13447 18089 18684 18712 18655 15580 16757
 15949 10354 11630 17897 18375  9999  8341 18754 16731 10737 11917 11675
 17959 18759  9345 13024 11616 18685 18758 17981]","[6352.925 6358.831 6360.378 6353.926 6370.386 6358.386 6356.927 6358.926
 6356.925 6355.378 6354.924 6358.924 6353.38  6360.386 6353.829 6357.925
 6354.381 6352.386 6355.912 6357.38  6368.927 6357.379 6361.386 6367.924
 6352.386 6356.386 6360.386 6361.378 6355.829 6353.38  6357.378 6353.909
 6357.927 6353.831 6352.386 6358.926 6357.38  6359.83  6364.924 6355.926
 6354.386 6362.386 6356.38  6354.386 6359.386 6362.925 6355.924 6356.831
 6354.386 6360.386 6354.386 6353.924 6356.386 6370.38  6356.381 6362.386
 6350.386 6358.386 6351.375 6351.38  6358.378 6352.925 6356.924 6361.379
 6351.386 6356.924 6359.829 6367.386 6356.38  6354.926 6355.924 6354.924
 6351.379 6354.386 6350.932 6362.38  6353.924 6355.386 6357.386 6350.379]",0,proportional,0.9999880098109712,fair-bpa,0.9784178433889603,1.1902674674987792,8995,0.03119840730309799,married,not-married,0.0019255455712451862,0.0019680196801968018,48,32,188,7853,bank,n/a,n/a
"[ 8992 10599 11394 18664 18690 10427 18691 18728 15949 12642 10455 10354
 13447 11121 10224 18711  8032 17230 18636 11754 23150 17254 17982 18685
 11917 12640 13813 11914 18652 10737 18089 18653  9059 11033 11630 17337
 18353 15970 17523 18500 11769 11902  9999 18792  8341 18655  9759 16731
 18786 18754  9013 12073 11357 12697 11003 11880 18790 18567 18694 18684
 13024 11593 11675  9326 11756 18759  8339 18758 12750  9057 18717 11616
 17897 10959  8301 10431 18642 18703 18674  9320]","[6351.831 6358.926 6355.924 6361.386 6359.386 6357.925 6354.386 6370.386
 6358.378 6360.378 6352.925 6352.925 6370.38  6358.926 6356.925 6352.386
 6359.83  6353.38  6356.386 6354.924 6353.909 6357.38  6357.379 6355.386
 6355.924 6357.378 6354.381 6351.924 6354.386 6354.926 6356.381 6360.386
 6358.831 6368.927 6356.924 6357.38  6354.386 6355.378 6356.38  6356.386
 6367.924 6351.924 6356.924 6358.386 6359.829 6358.386 6353.926 6356.38
 6352.386 6367.386 6356.831 6355.912 6355.926 6361.378 6357.927 6353.924
 6351.386 6360.386 6360.386 6362.386 6362.38  6364.924 6354.924 6351.932
 6358.924 6354.386 6355.829 6357.386 6353.38  6353.831 6362.386 6353.924
 6361.379 6356.927 6353.829 6362.925 6352.386 6352.386 6354.386 6351.932]",1,proportional,1.0,bpa2,0.6968578776696859,0.3792852878570557,7679,0.026633971059531903,married,not-married,0.002206354300385109,0.0015375153751537515,55,25,13,7588,bank,n/a,n/a
"[10455  9059 12642  9759 18728 18792 10959 10599 10224 15970 11754 11756
 12750 18694  8301 10427 13813 18711 12073 17254 11033 17982 18664 11769
 18642 18500 18567 12697  8339 17230 12640 23150 11003  9057 18786 11121
 17337  8032 11593 11357 18652 18717 17523 18674 18690 10431 11394  9013
 18691 18653 18353 11880 18636 13447 18089 18684 18712 18655 15580 16757
 15949 10354 11630 17897 18375  9999  8341 18754 16731 10737 11917 11675
 17959 18759  9345 13024 11616 18685 18758 17981]","[6352.925 6358.831 6360.378 6353.926 6370.386 6358.386 6356.927 6358.926
 6356.925 6355.378 6354.924 6358.924 6353.38  6360.386 6353.829 6357.925
 6354.381 6352.386 6355.912 6357.38  6368.927 6357.379 6361.386 6367.924
 6352.386 6356.386 6360.386 6361.378 6355.829 6353.38  6357.378 6353.909
 6357.927 6353.831 6352.386 6358.926 6357.38  6359.83  6364.924 6355.926
 6354.386 6362.386 6356.38  6354.386 6359.386 6362.925 6355.924 6356.831
 6354.386 6360.386 6354.386 6353.924 6356.386 6370.38  6356.381 6362.386
 6350.386 6358.386 6351.375 6351.38  6358.378 6352.925 6356.924 6361.379
 6351.386 6356.924 6359.829 6367.386 6356.38  6354.926 6355.924 6354.924
 6351.379 6354.386 6350.932 6362.38  6353.924 6355.386 6357.386 6350.379]",0,proportional,0.9999880098109712,fair-bpa2,0.9784178433889603,0.44510178565979003,9002,0.03122268621928717,married,not-married,0.0019255455712451862,0.0019680196801968018,48,32,13,8911,bank,n/a,n/a
"[18728 13447 11033 11769 18754 11593 10431 18717 18684 13024 18664 17897
 12697 18694 18567 18653 12642  8032  8341 18690 11121 10599 11756  9059
 18792 18655 15949 11003 10427 18758 17337 17254 17982 12640 10959 10224
 11630  9999  9013 18500 18636 18089 17523 16731 11357 11394 11917 12073
  8339 18685 15970 10737 11754 11675 18674 18652 18759 18691 18353 13813
  9759 11880 11616 23150  9057  8301 17230 12750 10455 10354 18786 18711
 18703 18642  9326  9320 11914 11902  8992 18790]","[6370.386 6370.38  6368.927 6367.924 6367.386 6364.924 6362.925 6362.386
 6362.386 6362.38  6361.386 6361.379 6361.378 6360.386 6360.386 6360.386
 6360.378 6359.83  6359.829 6359.386 6358.926 6358.926 6358.924 6358.831
 6358.386 6358.386 6358.378 6357.927 6357.925 6357.386 6357.38  6357.38
 6357.379 6357.378 6356.927 6356.925 6356.924 6356.924 6356.831 6356.386
 6356.386 6356.381 6356.38  6356.38  6355.926 6355.924 6355.924 6355.912
 6355.829 6355.386 6355.378 6354.926 6354.924 6354.924 6354.386 6354.386
 6354.386 6354.386 6354.386 6354.381 6353.926 6353.924 6353.924 6353.909
 6353.831 6353.829 6353.38  6353.38  6352.925 6352.925 6352.386 6352.386
 6352.386 6352.386 6351.932 6351.932 6351.924 6351.924 6351.831 6351.386]",n/a,proportional,1.0,fa*ir-protected0-p=0.6052248227639119,0.6968578776696859,38.129362154006955,288316,1.0,married,not-married,0.002206354300385109,0.0015375153751537515,55,25,41188,0,bank,n/a,n/a
"[18728 13447 11033 11769 18754 11593 10431 18684 18717 13024 18664 17897
 12697 18653 18694 18567 12642  8032  8341 18690 11121 10599 11756  9059
 18655 18792 15949 11003 10427 18758 17337 17254 17982 12640 10959 10224
 11630  9999  9013 18636 18500 18089 16731 17523 11357 11917 11394 12073
  8339 18685 15970 10737 11675 11754 18759 18691 18353 18674 18652 13813
  9759 11880 11616 23150  9057  8301 17230 12750 10354 10455 18786 18711
 18703 18642  9326  9320 11914 11902  8992 18375]","[6370.386 6370.38  6368.927 6367.924 6367.386 6364.924 6362.925 6362.386
 6362.386 6362.38  6361.386 6361.379 6361.378 6360.386 6360.386 6360.386
 6360.378 6359.83  6359.829 6359.386 6358.926 6358.926 6358.924 6358.831
 6358.386 6358.386 6358.378 6357.927 6357.925 6357.386 6357.38  6357.38
 6357.379 6357.378 6356.927 6356.925 6356.924 6356.924 6356.831 6356.386
 6356.386 6356.381 6356.38  6356.38  6355.926 6355.924 6355.924 6355.912
 6355.829 6355.386 6355.378 6354.926 6354.924 6354.924 6354.386 6354.386
 6354.386 6354.386 6354.386 6354.381 6353.926 6353.924 6353.924 6353.909
 6353.831 6353.829 6353.38  6353.38  6352.925 6352.925 6352.386 6352.386
 6352.386 6352.386 6351.932 6351.932 6351.924 6351.924 6351.831 6351.386]",n/a,proportional,1.0,fa*ir-protected1-p=0.3947751772360882,0.7381531593093709,38.0037335395813,288316,1.0,married,not-married,0.0021662387676508344,0.0015990159901599016,54,26,41188,0,bank,n/a,n/a
