subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name
"[ 5214  2161 27654 25405  6805 14351 11402 29444 22552  6668 27095 27210
 28264  5829 26214 10811 20617 29586 13772 27153 12163 28269 27791 25897
 23074  2213 19773 23452 18709 19484 10632 22085 14312 13579  8101  8371
  1479 28675 22736 24681 21098 27173  2646 10620 23807 25490 16007 12575
 19459 24826  1360 24370 12918 27122 26257  1236  5599 22418 19041 23584
 13006 14599  4262 14362 11695 11353 19958 20771  3560 22470 28358  3539
 17418 25756  8044 29231  5406 26923  2861 16683 26415 12466    39   355
 20960 14000 25914  1958 10927 28051 10747  5205  5250  4960  4203  7481
   400  3369 27225 29461 17523     6 10344  8748 13724 19222  2175  2138
  1332 26535 16684 23180 25352  5363 26696 12651 15167 29507  9063 24043
 11707 10846   897    99 18033 26801 11152 12687 11693  8632 22403 29491
  6758 11343 29545 27996 21092 25541 28645 17141 10285 15377 22796 23950
 13592   444 11663 19654  8551 13416]","[102377.  88406.  71795.  58867.  51183.  51116.  50857.  50088.  48366.
  48344.  47450.  46864.  44906.  44326.  43324.  43073.  43028.  41816.
  41724.  41678.  40763.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38106.  38022.  37641.  37586.  37566.  37471.
  37274.  37046.  36568.  36457.  36374.  36216.  36054.  35960.  35763.
  35716.  35403.  35102.  34743.  34714.  34625.  34615.  34573.  34487.
  34095.  34074.  33915.  33595.  33366.  33212.  33188.  33146.  33093.
  32976.  32970.  32938.  32930.  32904.  32681.  32585.  32578.  32506.
  32475.  32459.  32448.  32428.  32386.  32382.  32249.  32214.  32186.
  32023.  31961.  31957.  31955.  31876.  31812.  31787.  31750.  31726.
  31670.  31662.  31626.  31603.  31566.  31536.  31448.  31406.  31396.
  31296.  31234.  31175.  31155.  31100.  31063.  31011.  30946.  30901.
  30881.  30813.  30744.  30613.  30366.  30346.  30344.  30284.  30156.
  30156.  30148.  30084.  30082.  30064.  30006.  29962.  29946.  29946.
  29938.  29914.  29850.  29835.  29832.  29825.  29824.  29736.  29726.
  29700.  29620.  29611.  29588.  29550.  29532.  29508.  29420.  29302.
  29270.  29246.  29223.  29096.  28996.  28930.]",1.0,proportional,1.0,fagins,0.5594684729472201,26.470594930648804,295130,0.9962866691422205,male,female,0.0038590604026845637,0.006897726305032785,69,81,15510,140030,credit
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848  6805 14351 29444
 27095 27210 20617 29586 27153 12163 10632 13579  8101  1479 24681 21098
 27173 10620 23807 12575 24826  1360 24370 12918 27122 26257  1236 23584
  4262 14362 11695 20771  3560  8044 29231  5406 26923  2861 16683 26415
 12466    39 20960  1958 10927  4960  4203   400 27225 29461     6 10344
  2175  1332 26535 16684  5363 26696 12651 29507  9063 24043 11707   897
    99 18033 26801 11152 11693 29491]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  51183.  51116.  50088.  47450.  46864.  43028.  41816.  41678.  40763.
  38106.  37586.  37566.  37274.  36457.  36374.  36216.  35960.  35763.
  35102.  34714.  34625.  34615.  34573.  34487.  34095.  34074.  33212.
  33093.  32976.  32970.  32904.  32681.  32448.  32428.  32386.  32382.
  32249.  32214.  32186.  32023.  31961.  31955.  31787.  31750.  31603.
  31566.  31448.  31396.  31296.  31175.  31155.  30946.  30881.  30813.
  30744.  30346.  30344.  30284.  30156.  30148.  30084.  30082.  30006.
  29962.  29946.  29946.  29938.  29850.  29825.]",0.1,proportional,0.9981975401192683,fair-fagins,0.7709877443828421,26.02689437866211,295140,0.9963204266954732,male,female,0.004530201342281879,0.00587584092650941,81,69,15524,139900,credit
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848 23145 19598  5537
 21184  1793  6805 14351 29444 27095 27210 20617 29586 27153 12163 10632
 13579  8101  1479 24681 21098 27173 10620 23807 12575 24826  1360 24370
 12918 27122 26257  1236 23584  4262 14362 11695 20771  3560  8044 29231
  5406 26923  2861 16683 26415 12466    39 20960  1958 10927  4960  4203
   400 27225 29461     6 10344  2175  1332 26535 16684  5363 26696 12651
 29507  9063 24043 11707   897    99]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  27963.  27946.  27861.  27764.  27706.  51183.  51116.  50088.  47450.
  46864.  43028.  41816.  41678.  40763.  38106.  37586.  37566.  37274.
  36457.  36374.  36216.  35960.  35763.  35102.  34714.  34625.  34615.
  34573.  34487.  34095.  34074.  33212.  33093.  32976.  32970.  32904.
  32681.  32448.  32428.  32386.  32382.  32249.  32214.  32186.  32023.
  31961.  31955.  31787.  31750.  31603.  31566.  31448.  31396.  31296.
  31175.  31155.  30946.  30881.  30813.  30744.  30346.  30344.  30284.
  30156.  30148.  30084.  30082.  30006.  29962.]",0.05,proportional,0.9962659970901723,fair-fagins,0.8825311101789709,26.218737649917603,295140,0.9963204266954732,male,female,0.004809843400447427,0.00545005535212467,86,64,15589,139250,credit
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848 23145 19598  5537
 21184  1793 14079  3292 19753 15141 22282  6805 14351 29444 27095 27210
 20617 29586 27153 12163 10632 13579  8101  1479 24681 21098 27173 10620
 23807 12575 24826  1360 24370 12918 27122 26257  1236 23584  4262 14362
 11695 20771  3560  8044 29231  5406 26923  2861 16683 26415 12466    39
 20960  1958 10927  4960  4203   400 27225 29461     6 10344  2175  1332
 26535 16684  5363 26696 12651 29507]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  27963.  27946.  27861.  27764.  27706.  27695.  27645.  27621.  27511.
  27494.  51183.  51116.  50088.  47450.  46864.  43028.  41816.  41678.
  40763.  38106.  37586.  37566.  37274.  36457.  36374.  36216.  35960.
  35763.  35102.  34714.  34625.  34615.  34573.  34487.  34095.  34074.
  33212.  33093.  32976.  32970.  32904.  32681.  32448.  32428.  32386.
  32382.  32249.  32214.  32186.  32023.  31961.  31955.  31787.  31750.
  31603.  31566.  31448.  31396.  31296.  31175.  31155.  30946.  30881.
  30813.  30744.  30346.  30344.  30284.  30156.]",0.0,proportional,0.9939485217909666,fair-fagins,0.9871861936921973,25.862858867645265,295180,0.9964554569084833,male,female,0.005089485458612975,0.00502426977773993,91,59,15709,138090,credit
"[ 2161  5214 25914 14362 12163 27173 19222 11663  8632 21098  7481 18033
 17141 22796 27210 27654 18709  1958 11707 11695  2175 25405 19654 26214
 29444  6805 26923  8371 13579 10747 20617 15167 16683 12918  6758  2646
 27225  8748 10344 14312 26801  1332 27791 11402 23074 16007 26535  4203
  1236  1360 19484 24370 29586 14000 29231 28358  2213  9063 19958 23950
 25352 27153  1479  5599 10620 22470     6 29545 15377 14351 22403   355
 13592  6668 11353  5250  5363 25897   897 27095 19041 28645 19773 10632
 23584  4262 21092 26257 12651 29491 26696 13416 16684 24043 12466 22085
 29461 25541 28264    39 20771 13724  8551 10846  2861 17523 29507 23452
 28269  3560  5829 10285 10927 25490 28051 17418 12575 24681 26415 22736
 11693 27122 22418 14599  3369 28675  5205 20960  8101 12687 25756 11343
 23807  3539 24826 10811 27996  2138   444 22552 23180  5406 11152   400
 13772 19459 13006  4960  8044    99]","[ 88406. 102377.  31812.  32976.  40763.  36216.  31011.  29223.  29835.
  36374.  31536.  29946.  29550.  29420.  46864.  71795.  38836.  31787.
  30082.  32970.  30946.  58867.  29096.  43324.  50088.  51183.  32382.
  37471.  37586.  31670.  43028.  30156.  32214.  34573.  29824.  36054.
  31396.  31100.  31155.  37641.  29946.  30881.  39526.  50857.  39270.
  35403.  30813.  31566.  34074.  34625.  38656.  34615.  41816.  31876.
  32428.  32578.  39245.  30148.  32930.  29302.  30366.  41678.  37274.
  33915.  35960.  32585.  31175.  29726.  29508.  51116.  29832.  31957.
  29270.  48344.  32938.  31626.  30346.  39524.  30006.  47450.  33366.
  29588.  39164.  38106.  33212.  33093.  29620.  34095.  30284.  29825.
  30344.  28930.  30744.  30084.  32023.  38022.  31296.  29611.  44906.
  31961.  32904.  31063.  28996.  30064.  32249.  31234.  30156.  38881.
  40236.  32681.  44326.  29532.  31750.  35716.  31726.  32475.  35102.
  36457.  32186.  36568.  29850.  34487.  33595.  33146.  31406.  37046.
  31662.  31955.  37566.  29914.  32459.  29736.  35763.  32506.  34714.
  43073.  29700.  30901.  29246.  48366.  30613.  32386.  29938.  31448.
  41724.  34743.  33188.  31603.  32448.  29962.]",1.0,proportional,1.0,ta,0.5594684729472201,3.621421957015991,26860,0.09067278803632313,male,female,0.0038590604026845637,0.006897726305032785,69,81,320,28150,credit
"[ 2161  5214 17141 11353  2213 27654 22796 23180 13724 25405 22403 26214
 23074  8371 25352 22470 10747  2646 28358 14312 27791 11402 25756  2138
 25490  5205 19484 12687 14103 10848  5599 19958 28645 22085 22418 19459
  6668 10349 16007 25897 27996 14599  8632 14297 25914  4000  3369  3539
 25541 28264  5250 18709   355 17523  6233 23452 28269 21902  5829  8748
 22736 17418 23531 19654 19773 15011 19222 15829 28675 28051 13772  1901
 10811 12700 19041 10846 22552 14000  7481 13006 15167 16683 21098 12163
 27122 24826 29231  4960  3560 12466 27210 10620  1360 29444  6805 20617
 14362 23807 23584 24681 13579  8044     6 27173 10344 24370 29586 12918
 29461  2861  1236  1958 27153  1479   400  1332 14351 12575  8101 26415
 27095 20960  4262 10632  5406 26257  4203  2175 20771 27225    39 10927
 11695 26923 26801 16684 11152    99 26535  9063 29507  5363 11693 18033
 24043 26696   897 12651 29491 11707]","[ 88406. 102377.  29550.  32938.  39245.  71795.  29420.  30613.  31063.
  58867.  29832.  43324.  39270.  37471.  30366.  32585.  31670.  36054.
  32578.  37641.  39526.  50857.  32459.  30901.  35716.  31662.  38656.
  29914.  28550.  28256.  33915.  32930.  29588.  38022.  33595.  34743.
  48344.  28666.  35403.  39524.  29700.  33146.  29835.  28807.  31812.
  28890.  31406.  32506.  29611.  44906.  31626.  38836.  31957.  31234.
  28541.  38881.  40236.  28305.  44326.  31100.  36568.  32475.  28671.
  29096.  39164.  28406.  31011.  28646.  37046.  31726.  41724.  28676.
  43073.  28920.  33366.  30064.  48366.  31876.  31536.  33188.  30156.
  32214.  36374.  40763.  34487.  34714.  32428.  31603.  32681.  32023.
  46864.  35960.  34625.  50088.  51183.  43028.  32976.  35763.  33212.
  36457.  37586.  32448.  31175.  36216.  31155.  34615.  41816.  34573.
  31296.  32249.  34074.  31787.  41678.  37274.  31448.  30881.  51116.
  35102.  37566.  32186.  47450.  31955.  33093.  38106.  32386.  34095.
  31566.  30946.  32904.  31396.  31961.  31750.  32970.  32382.  29946.
  30744.  29938.  29962.  30813.  30148.  30156.  30346.  29850.  29946.
  30084.  30344.  30006.  30284.  29825.  30082.]",0.1,proportional,0.9981975401192683,fair-ta,0.7709877443828421,3.8464729309082033,28430,0.09597272389697195,male,female,0.004530201342281879,0.00587584092650941,81,69,339,29823,credit
"[ 2161  5214 22418 28645 15167 27654 25756 28358 18709 25405 22470 26214
 13724  8371 22085  1901 10848  2646 21184 14312 27791 11402 27996 28051
 19459  5205 19484  5537 19773  1793  5599  8632 19222  2213 16007 23531
  6668 25352   355 25897 23180  3369 14297 19598  6233  4000 19041 13772
 25541 28264  5250  8748 23074 17523 15011 23452 28269 19958  5829 12687
 14599 17418 15829 22736 21902  2138 10747 22796 28675  3539 25914 22403
 10811 11353 12700 14000 22552 10349 25490 13006  7481 10846 14103 23145
 19654 17141 10620 14362 12163  2861 10344 27225 26923 26415 23807 27210
 11695  5363 29444  6805 20617 16683 29461  1360 20771 20960  1958 27173
  4203 24826 24370 29586  8101  1332 10927 16684 12918 27153  1479 12466
 24681 14351  5406     6 23584 27095 21098  4262 10632 13579 26257  1236
  2175  3560 29231    39  4960  8044 12575 27122 26535   400   897 11707
  9063    99 12651 26696 24043 29507]","[ 88406. 102377.  33595.  29588.  30156.  71795.  32459.  32578.  38836.
  58867.  32585.  43324.  31063.  37471.  38022.  28676.  28256.  36054.
  27764.  37641.  39526.  50857.  29700.  31726.  34743.  31662.  38656.
  27861.  39164.  27706.  33915.  29835.  31011.  39245.  35403.  28671.
  48344.  30366.  31957.  39524.  30613.  31406.  28807.  27946.  28541.
  28890.  33366.  41724.  29611.  44906.  31626.  31100.  39270.  31234.
  28406.  38881.  40236.  32930.  44326.  29914.  33146.  32475.  28646.
  36568.  28305.  30901.  31670.  29420.  37046.  32506.  31812.  29832.
  43073.  32938.  28920.  31876.  48366.  28666.  35716.  33188.  31536.
  30064.  28550.  27963.  29096.  29550.  35960.  32976.  40763.  32249.
  31155.  31396.  32382.  32186.  35763.  46864.  32970.  30346.  50088.
  51183.  43028.  32214.  31296.  34625.  32904.  31955.  31787.  36216.
  31566.  34714.  34615.  41816.  37566.  30881.  31750.  30744.  34573.
  41678.  37274.  32023.  36457.  51116.  32386.  31175.  33212.  47450.
  36374.  33093.  38106.  37586.  34095.  34074.  30946.  32681.  32428.
  31961.  31603.  32448.  35102.  34487.  30813.  31448.  30006.  30082.
  30148.  29962.  30284.  30344.  30084.  30156.]",0.05,proportional,0.9962659970901723,fair-ta,0.8825311101789709,4.12493200302124,30310,0.10231914390844951,male,female,0.004809843400447427,0.00545005535212467,86,64,363,31926,credit
"[ 2161  5214 19958 28645  3539 27654 19654  5250  1793 25405 14000 26214
  6233  8371  2213 10747 25352  2646 22085 14312 27791 11402 25490 14599
 28051 14297 19484  8632 27996  3369  5599 22418 13772   355 22796 19222
  6668 14079 22736 25897  2138 25756 11353  4000 22403 12700  1901  7481
 25541 28264 15829 16007 10848 17523 15141 23452 28269 14103  5829 19041
 10846 17418  5537 25914 15167 17141 23531 13724 28675  3292 19459 28358
 10811 19598 18709 23145 22552 15011 23074 13006  5205 19773 21902 23180
 19753  8748 22470 12687 22282 21184 10349  4203 24826 12163 13579  1360
 26696  8101 14362 10927 27210  1958 23807 29444  6805 20617 27173 11695
 26535  1236 16684 21098 24681 29231 10620 24370 29586 26923 27225 12575
  5406  4262 27153  1479  3560 12651 14351 29461 12466   400 27095 27122
 23584 10632 20771 26257  2175  5363 10344 16683    39  2861 26415     6
  4960 29507  8044 12918  1332 20960]","[ 88406. 102377.  32930.  29588.  32506.  71795.  29096.  31626.  27706.
  58867.  31876.  43324.  28541.  37471.  39245.  31670.  30366.  36054.
  38022.  37641.  39526.  50857.  35716.  33146.  31726.  28807.  38656.
  29835.  29700.  31406.  33915.  33595.  41724.  31957.  29420.  31011.
  48344.  27695.  36568.  39524.  30901.  32459.  32938.  28890.  29832.
  28920.  28676.  31536.  29611.  44906.  28646.  35403.  28256.  31234.
  27511.  38881.  40236.  28550.  44326.  33366.  30064.  32475.  27861.
  31812.  30156.  29550.  28671.  31063.  37046.  27645.  34743.  32578.
  43073.  27946.  38836.  27963.  48366.  28406.  39270.  33188.  31662.
  39164.  28305.  30613.  27621.  31100.  32585.  29914.  27494.  27764.
  28666.  31566.  34714.  40763.  37586.  34625.  30344.  37566.  32976.
  31750.  46864.  31787.  35763.  50088.  51183.  43028.  36216.  32970.
  30813.  34074.  30744.  36374.  36457.  32428.  35960.  34615.  41816.
  32382.  31396.  35102.  32386.  33093.  41678.  37274.  32681.  30284.
  51116.  31296.  32023.  31448.  47450.  34487.  33212.  38106.  32904.
  34095.  30946.  30346.  31155.  32214.  31961.  32249.  32186.  31175.
  31603.  30156.  32448.  34573.  30881.  31955.]",0.0,proportional,0.9939485217909666,fair-ta,0.9871861936921973,4.137537097930908,30730,0.1037369611450562,male,female,0.005089485458612975,0.00502426977773993,91,59,369,32444,credit
"[ 2161  5214 25914 14362 12163 27173 19222 11663  8632 21098  7481 18033
 17141 22796 27210 27654 18709  1958 11707 11695  2175 25405 19654 26214
 29444  6805 26923  8371 13579 10747 20617 15167 16683 12918  6758  2646
 27225  8748 10344 14312 26801  1332 27791 11402 23074 16007 26535  4203
  1236  1360 19484 24370 29586 14000 29231 28358  2213  9063 19958 23950
 25352 27153  1479  5599 10620 22470     6 29545 15377 14351 22403   355
 13592  6668 11353  5250  5363 25897   897 27095 19041 28645 19773 10632
 23584  4262 21092 26257 12651 29491 26696 13416 16684 24043 12466 22085
 29461 25541 28264    39 20771 13724  8551 10846  2861 17523 29507 23452
 28269  3560  5829 10285 10927 25490 28051 17418 12575 24681 26415 22736
 11693 27122 22418 14599  3369 28675  5205 20960  8101 12687 25756 11343
 23807  3539 24826 10811 27996  2138   444 22552 23180  5406 11152   400
 13772 19459 13006  4960  8044    99]","[ 88406. 102377.  31812.  32976.  40763.  36216.  31011.  29223.  29835.
  36374.  31536.  29946.  29550.  29420.  46864.  71795.  38836.  31787.
  30082.  32970.  30946.  58867.  29096.  43324.  50088.  51183.  32382.
  37471.  37586.  31670.  43028.  30156.  32214.  34573.  29824.  36054.
  31396.  31100.  31155.  37641.  29946.  30881.  39526.  50857.  39270.
  35403.  30813.  31566.  34074.  34625.  38656.  34615.  41816.  31876.
  32428.  32578.  39245.  30148.  32930.  29302.  30366.  41678.  37274.
  33915.  35960.  32585.  31175.  29726.  29508.  51116.  29832.  31957.
  29270.  48344.  32938.  31626.  30346.  39524.  30006.  47450.  33366.
  29588.  39164.  38106.  33212.  33093.  29620.  34095.  30284.  29825.
  30344.  28930.  30744.  30084.  32023.  38022.  31296.  29611.  44906.
  31961.  32904.  31063.  28996.  30064.  32249.  31234.  30156.  38881.
  40236.  32681.  44326.  29532.  31750.  35716.  31726.  32475.  35102.
  36457.  32186.  36568.  29850.  34487.  33595.  33146.  31406.  37046.
  31662.  31955.  37566.  29914.  32459.  29736.  35763.  32506.  34714.
  43073.  29700.  30901.  29246.  48366.  30613.  32386.  29938.  31448.
  41724.  34743.  33188.  31603.  32448.  29962.]",1.0,proportional,1.0,bpa,0.5594684729472201,3.569208335876465,26490,0.08942375856597914,male,female,0.0038590604026845637,0.006897726305032785,69,81,315,27714,credit
"[ 2161  5214 17141 11353  2213 27654 22796 23180 13724 25405 22403 26214
 23074  8371 25352 22470 10747  2646 28358 14312 27791 11402 25756  2138
 25490  5205 19484 12687 14103 10848  5599 19958 28645 22085 22418 19459
  6668 10349 16007 25897 27996 14599  8632 14297 25914  4000  3369  3539
 25541 28264  5250 18709   355 17523  6233 23452 28269 21902  5829  8748
 22736 17418 23531 19654 19773 15011 19222 15829 28675 28051 13772  1901
 10811 12700 19041 10846 22552 14000  7481 13006 15167 16683 21098 12163
 27122 24826 29231  4960  3560 12466 27210 10620  1360 29444  6805 20617
 14362 23807 23584 24681 13579  8044     6 27173 10344 24370 29586 12918
 29461  2861  1236  1958 27153  1479   400  1332 14351 12575  8101 26415
 27095 20960  4262 10632  5406 26257  4203  2175 20771 27225    39 10927
 11695 26923 26801 16684 11152    99 26535  9063 29507  5363 11693 18033
 24043 26696   897 12651 29491 11707]","[ 88406. 102377.  29550.  32938.  39245.  71795.  29420.  30613.  31063.
  58867.  29832.  43324.  39270.  37471.  30366.  32585.  31670.  36054.
  32578.  37641.  39526.  50857.  32459.  30901.  35716.  31662.  38656.
  29914.  28550.  28256.  33915.  32930.  29588.  38022.  33595.  34743.
  48344.  28666.  35403.  39524.  29700.  33146.  29835.  28807.  31812.
  28890.  31406.  32506.  29611.  44906.  31626.  38836.  31957.  31234.
  28541.  38881.  40236.  28305.  44326.  31100.  36568.  32475.  28671.
  29096.  39164.  28406.  31011.  28646.  37046.  31726.  41724.  28676.
  43073.  28920.  33366.  30064.  48366.  31876.  31536.  33188.  30156.
  32214.  36374.  40763.  34487.  34714.  32428.  31603.  32681.  32023.
  46864.  35960.  34625.  50088.  51183.  43028.  32976.  35763.  33212.
  36457.  37586.  32448.  31175.  36216.  31155.  34615.  41816.  34573.
  31296.  32249.  34074.  31787.  41678.  37274.  31448.  30881.  51116.
  35102.  37566.  32186.  47450.  31955.  33093.  38106.  32386.  34095.
  31566.  30946.  32904.  31396.  31961.  31750.  32970.  32382.  29946.
  30744.  29938.  29962.  30813.  30148.  30156.  30346.  29850.  29946.
  30084.  30344.  30006.  30284.  29825.  30082.]",0.1,proportional,0.9981975401192683,fair-bpa,0.7709877443828421,3.844470739364624,28430,0.09597272389697195,male,female,0.004530201342281879,0.00587584092650941,81,69,339,29823,credit
